playerid,offense,defense,numOfPos
leverca01,1.2,0.5,4629.0
ojelese01,0.5,0.2,2093.0
tatumja01,3.4,1.6,10595.0
iwundwe01,1.4,0.5,5211.0
derrima01,0.0,0.2,243.0
willijo04,0.3,0.7,1444.0
antetgi01,5.5,8.9,10517.0
allenja01,3.3,4.4,9193.0
lylestr01,1.4,-0.2,4565.0
anunoog01,1.7,0.3,5803.0
hardati02,0.9,1.0,9191.0
ellenhe01,0.2,0.2,915.0
mooreet01,0.5,1.2,6533.0
turneev01,1.5,0.5,6814.0
motlejo01,0.2,0.1,675.0
sextoco01,-0.5,-0.1,10847.0
bouchch01,0.4,0.2,702.0
mccolcj01,1.7,4.0,10393.0
doziepj01,0.1,0.1,226.0
diallch01,1.2,1.4,3948.0
griffbl01,2.9,5.1,11286.0
fournev01,2.5,0.8,10772.0
belljo01,1.1,0.5,3288.0
bambamo01,1.4,0.3,3206.0
kaminfr01,0.5,1.3,3150.0
allenka01,0.2,0.7,1768.0
walljo01,0.7,0.5,5217.0
whitede01,1.9,1.7,7078.0
simmoko01,0.0,0.0,7.0
caulewi01,2.9,3.8,9856.0
bridgmi01,1.2,1.7,10432.0
evansja01,0.0,-0.2,266.0
powelno01,1.4,1.0,4820.0
riverau01,0.8,0.4,8478.0
dorsety01,0.4,0.2,3061.0
harremo01,2.6,6.1,9665.0
arizatr01,1.2,1.3,10437.0
nurkiju01,3.3,4.4,8463.0
sampsbr01,0.1,-0.1,806.0
smithzh01,0.1,0.0,482.0
divindo01,0.6,0.0,1872.0
dienggo01,1.3,1.5,4489.0
matenya01,0.0,0.0,4.0
aytonde01,1.7,4.1,9301.0
parketo01,0.3,0.6,4263.0
bogdabo02,2.8,3.9,10865.0
klebima01,1.8,1.6,6320.0
iguodan01,1.8,2.4,6857.0
scottmi01,1.2,0.4,6043.0
dunnkr01,1.2,-0.5,5829.0
dellama01,0.0,0.5,3427.0
forbebr01,1.3,2.5,9482.0
fultzma01,0.4,-0.1,1894.0
curryst01,2.5,7.2,10800.0
martija01,0.4,0.1,1379.0
trieral01,0.5,0.4,5999.0
